White Alone,Total_Population,Total_Citizen_Population,Registered,Registered_Percent,Not_Registered,Not_Registered_Percent,No_Registration_Response,No_Registration_Response_Percent,ReportedVoted,ReportedVoted_Percent,ReportedNotVoted,ReportedNotVoted_Percent,No_Voting_Response,No_Voting_Response_Percent,Percent_TotalPop_ReportedRegistered,Percent_TotalPop_ReportedVoted
BOTH_SEX_Total,195227.00,181891.00,134889.00,74.20,19548.00,10.70,27454.00,15.10,124301.00,68.30,30888.00,17.00,26702.00,14.70,69.10,63.70
BOTH_SEX_18_to_24,20996.00,19863.00,12166.00,61.20,3892.00,19.60,3805.00,19.20,10437.00,52.50,5772.00,29.10,3654.00,18.40,57.90,49.70
BOTH_SEX_25_to_44,63808.00,57381.00,40980.00,71.40,7561.00,13.20,8839.00,15.40,36760.00,64.10,12086.00,21.10,8535.00,14.90,64.20,57.60
BOTH_SEX_45_to_64,64265.00,59766.00,45848.00,76.70,5277.00,8.80,8641.00,14.50,43001.00,71.90,8300.00,13.90,8465.00,14.20,71.30,66.90
BOTH_SEX_65_to_74,27122.00,26247.00,21167.00,80.60,1604.00,6.10,3476.00,13.20,20387.00,77.70,2417.00,9.20,3442.00,13.10,78.00,75.20
BOTH_SEX_75_andOlder,19036.00,18634.00,14728.00,79.00,1213.00,6.50,2693.00,14.50,13716.00,73.60,2313.00,12.40,2606.00,14.00,77.40,72.10
MALE_Total,95375.00,88483.00,64695.00,73.10,10290.00,11.60,13498.00,15.30,59316.00,67.00,16056.00,18.10,13111.00,14.80,67.80,62.20
MALE_18_to24,10594.00,10067.00,6045.00,60.10,1967.00,19.50,2055.00,20.40,5054.00,50.20,3026.00,30.10,1986.00,19.70,57.10,47.70
MALE_25_to_44,32097.00,28713.00,19919.00,69.40,4282.00,14.90,4512.00,15.70,17724.00,61.70,6677.00,23.30,4313.00,15.00,62.10,55.20
MALE_45_to_64,31652.00,29276.00,22209.00,75.90,2884.00,9.80,4184.00,14.30,20717.00,70.80,4458.00,15.20,4101.00,14.00,70.20,65.50
MALE_65_to_74,12828.00,12390.00,10032.00,81.00,731.00,5.90,1628.00,13.10,9704.00,78.30,1079.00,8.70,1607.00,13.00,78.20,75.60
MALE_75_andOlder,8204.00,8036.00,6491.00,80.80,426.00,5.30,1119.00,13.90,6117.00,76.10,816.00,10.20,1103.00,13.70,79.10,74.60
FEMALE_Total,99852.00,93409.00,70194.00,75.10,9258.00,9.90,13956.00,14.90,64985.00,69.60,14832.00,15.90,13592.00,14.60,70.30,65.10
FEMALE_18_to24,10402.00,9796.00,6120.00,62.50,1926.00,19.70,1750.00,17.90,5383.00,54.90,2746.00,28.00,1668.00,17.00,58.80,51.70
FEMALE_25_to_44,31711.00,28668.00,21061.00,73.50,3279.00,11.40,4327.00,15.10,19037.00,66.40,5409.00,18.90,4222.00,14.70,66.40,60.00
FEMALE_45_to_64,32614.00,30490.00,23639.00,77.50,2393.00,7.80,4457.00,14.60,22284.00,73.10,3842.00,12.60,4364.00,14.30,72.50,68.30
FEMALE_65_to_74,14294.00,13857.00,11136.00,80.40,874.00,6.30,1847.00,13.30,10683.00,77.10,1338.00,9.70,1835.00,13.20,77.90,74.70
FEMALE_75_andOlder,10831.00,10598.00,8238.00,77.70,786.00,7.40,1574.00,14.90,7598.00,71.70,1497.00,14.10,1503.00,14.20,76.10,70.20
